,Dataset,FeatureSet,Model,BestParams,Accuracy_Mean,Accuracy_STD,Precision_Mean,Precision_STD,Recall_Mean,Recall_STD,F1_Score_Mean,F1_Score_STD
0,Simple,AllFeatures,DecisionTree,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",0.9208343711083437,0.028553562436268363,0.7574420677361854,0.11046405640886182,0.7669841269841269,0.08753158735901176,0.757962797481486,0.08313936282486754
1,Simple,AllFeatures,RandomForest,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 300}",0.9453881278538813,0.01555963534781622,0.9147781664723194,0.0757805899435493,0.7326984126984126,0.07435351674436777,0.8101967047906982,0.05701243413745973
2,Simple,AllFeatures,GradientBoosting,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 300}",0.942656704026567,0.019272719297406347,0.8718407707910749,0.08233634573842225,0.7555555555555555,0.06453117941471447,0.8083185244346828,0.06479656949594717
3,Simple,AllFeatures,XGBoost,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300}",0.9390037359900374,0.02495159696302824,0.8725925925925926,0.11070543225048537,0.733015873015873,0.08564606338497649,0.7938755111313041,0.08379164309712495
4,Simple,ManualSelection,DecisionTree,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5}",0.9035325861353259,0.018145190953378562,0.7208513708513709,0.07525096878712555,0.6596825396825395,0.055110233333657714,0.6872041518271842,0.05439219676094646
5,Simple,ManualSelection,RandomForest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 300}",0.9262847654628477,0.015652722191896926,0.8392768817204301,0.08606477423212038,0.6757142857142857,0.04130523512800275,0.7467125908916954,0.04831162506212967
6,Simple,ManualSelection,GradientBoosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9271938563719384,0.012617475992898072,0.8293400852021542,0.07290200125688891,0.6931746031746031,0.021198648920376578,0.754046862812533,0.036975441234826115
7,Simple,ManualSelection,XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.9308260689082607,0.0185956744744339,0.8420104643018993,0.08745534596399598,0.7044444444444444,0.03934971538373631,0.7665298142717498,0.05852804310332751
8,Simple,KeywordFeatures,DecisionTree,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5}",0.8926276463262763,0.01455926603351939,0.7025736450736451,0.07716830215604062,0.5965079365079365,0.0756755083555955,0.6389662961958977,0.04881102122929616
9,Simple,KeywordFeatures,RandomForest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.923549190535492,0.013424542011484922,0.8825587456022239,0.08000731376834576,0.6082539682539683,0.04238303306229495,0.7185585973601801,0.0458355742717242
10,Simple,KeywordFeatures,GradientBoosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9180863428808633,0.02103313522670894,0.8207919531448944,0.12334767322921278,0.6482539682539682,0.05136190073944554,0.7192568981615635,0.06099991136949838
11,Simple,KeywordFeatures,XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.9217434620174346,0.01612668227375384,0.8235180097680097,0.0972635569296393,0.6650793650793652,0.05600273541892051,0.7319698252711663,0.0506936736745911
12,Simple,ParkingSensores,DecisionTree,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 10}",0.8680448318804483,0.017155540777951988,0.5883928571428572,0.05835215925564296,0.5904761904761904,0.058398894159070056,0.5887038049190666,0.05533480065038543
13,Simple,ParkingSensores,RandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 300}",0.9099003735990039,0.020902188164106637,0.8019310344827586,0.09895184334226594,0.5852380952380953,0.0585617491034027,0.6760382513661202,0.07241435130728274
14,Simple,ParkingSensores,GradientBoosting,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300}",0.8980904939809049,0.01919104775038829,0.7191674027786866,0.08709103752672534,0.6074603174603175,0.06335620385084258,0.6563262862926372,0.06181208975890089
15,Simple,ParkingSensores,XGBoost,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.9035491905354919,0.016105155456636506,0.7402249677300388,0.07685985336899467,0.6246031746031746,0.04818185923754705,0.6752320374042707,0.04689940471076734
16,Simple,MutualInformation1,DecisionTree,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",0.9244790369447904,0.02810227770122924,0.7630642584990411,0.10229238064524918,0.7841269841269841,0.0857730545149606,0.7700632845730885,0.08083981355901533
17,Simple,MutualInformation1,RandomForest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.9472104607721047,0.015963479300585063,0.9121683833407971,0.06705685754972787,0.7441269841269842,0.06322483446097578,0.8180955074337426,0.05663173695882209
