uuid,tags,url,parking,number_domain_keywords_en,number_parking_kewords_en,number_together_in_line_keywords_en,keyword_in_title_en,stemmed_keyword_in_title,kword_auction,kword_domain,kword_regist,kword_price,kword_offer,kword_servic,kword_host,kword_websit,kword_contact,kword_site,kword_transfer,kword_héberge,kword_internet,kword_serveur,kword_découvr,kword_mainten,language,presence_of_nav,text_alpha_length,number_frames,number_images,domain_in_title,domain_in_text,in_warninglist,ip,different_final_domain,number_links,number_link_same_domain,average_link_length_same_domain,number_different_link_domains,average_link_length,maximum_link_length,link_to_text_ratio,number_non_link_characters,third_party_requests_ratio,third_party_data_ratio,third_party_html_content_ratio,initial_response_size,initial_response_ratio,number_redirects,structural_hash,Unnamed: 0
5cc9fa8f-c38f-4929-baba-8c2b443dcbb3,"['not_parking', 'selected_captures']",https://jable.tv/videos/ssis-795/,False,2,0,0,False,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,unknown,True,2465,5,52,True,False,False,"{'v4': ['104.23.130.4', '104.23.131.4'], 'v6': ['2606:4700:11::6817:8204', '2606:4700:11::6817:8304']}",False,213,187,31.94117647058824,17,36.10798122065728,711,0.6125760649087221,955,0.9666666666666668,0.9953794404393224,0.9425527455877856,16721,0.0036869661853537,4,da318051cfd0e862382152f7279be436,
5c08efde-84df-410a-a746-cde731ba0247,"['not_parking', 'selected_captures']",http://imageshack.us,False,12,0,0,False,True,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,unknown,True,321,2,0,False,False,False,"{'v4': ['208.94.3.16', '208.94.3.17'], 'v6': []}",True,16,1,27.0,14,9.2,27,0.3426791277258567,211,0.9333333333333332,0.9999685694632994,0.994834094973177,26,3.1430536700591496e-05,1,7eb6722685b2840a05e4773aaaed8e2e,
a48ba88f-9f28-49d2-8ebc-d9df1618d15d,"['not_parking', 'selected_captures']",http://nobartv.id,False,56,3,1,False,False,0,1,3,6,4,3,0,13,3,27,0,0,0,0,0,0,unknown,True,824,0,5,False,False,False,"{'v4': ['188.114.97.3', '188.114.96.3'], 'v6': ['2a06:98c1:3121::3', '2a06:98c1:3120::3']}",False,18,11,19.0,4,18.33333333333333,48,0.1905339805825242,667,0.7894736842105263,0.9143605566365683,0.0,167,0.0001140984717637,1,a2ba395d381fa7c7cdbdbc29266e84ef,
21333e92-67d0-4b64-9c42-f295cc6e1afe,"['not_parking', 'selected_captures']",http://eepurl.com,False,2,1,0,False,True,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,unknown,False,622,0,0,False,False,False,"{'v4': ['23.41.24.149'], 'v6': []}",False,3,0,0.0,3,33.333333333333336,47,0.0771704180064308,574,0.0,0.0,0.0,1971,0.0128229316435602,0,0149a50e972ffd6f39f47c0d81e02f8e,
90f23650-e215-4467-9f9a-1ae3944fc8ec,"['not_parking', 'selected_captures']",http://sweettoursinparis.fr,False,106,3,1,True,True,0,8,2,6,0,16,0,3,12,82,0,0,1,0,11,2,unknown,True,8619,2,32,False,False,False,"{'v4': ['109.234.166.18'], 'v6': []}",True,51,44,63.54545454545455,6,59.36734693877551,103,0.0943264879916463,7806,0.9940476190476192,1.0,1.0,0,0.0,2,c3628d2cae106bb98c4aad8a9fb0023e,
145c101a-de56-4b37-8959-1ea4a301125b,"['not_parking', 'selected_captures']",http://kickstarter.com,False,40,2,2,False,False,0,3,1,0,0,2,2,1,2,7,0,0,0,0,0,0,unknown,True,29740,3,170,False,False,False,"{'v4': ['172.64.149.97', '104.18.38.159'], 'v6': ['2606:4700:4400::ac40:9561', '2606:4700:4400::6812:269f']}",True,1011,523,94.53728489483748,324,69.92680514342236,220,0.3718560860793544,18681,0.9968051118210862,0.999989865099006,0.9994753657517508,167,1.0134900994154893e-05,2,7b2ba9768009254694c549cee2e76f20,
3e7f22d8-ea9b-40e7-8f67-2ae2e7fca33b,"['not_parking', 'selected_captures']",http://hubpages.com,False,1,0,0,True,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,unknown,False,11,1,0,True,True,False,"{'v4': ['151.101.2.98', '151.101.130.98', '151.101.194.98', '151.101.66.98'], 'v6': []}",True,0,0,0.0,0,0.0,0,0.0,11,0.8181818181818182,0.9994711375279232,0.9993451659564486,134,0.0005288624720768,2,90aefcb4435a23b57beb07f5fd7f224b,
e05c2a16-649e-4f79-8b45-674327f9190c,"['not_parking', 'selected_captures']",http://google.ru,False,19,0,0,False,False,0,6,0,0,0,1,1,1,0,6,0,0,1,0,0,0,unknown,False,2591,0,11,False,False,False,"{'v4': ['142.250.186.99'], 'v6': ['2a00:1450:4001:810::2003']}",True,23,8,113.0,12,77.36363636363636,153,0.1111539945966808,2303,0.9666666666666668,0.99968262241239,0.997118574619665,218,0.00031737758761,2,612a4fe3e95703cf37e6342d7df43493,
76d41b8f-ea1f-42f9-a75d-cd870b2b93a8,"['not_parking', 'selected_captures']",http://g1rd.short.gy/AppBper,False,4,0,0,False,False,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,unknown,False,203,0,2,False,False,False,"{'v4': ['18.194.86.172', '18.184.197.212', '52.59.165.42'], 'v6': []}",False,1,0,0.0,1,36.0,36,0.0443349753694581,194,0.75,0.9377754251306822,0.0,4702,0.0622245748693178,0,2104e31225612646f51912255784366d,
dd72a650-4f4e-4750-9f21-c717949e75d2,"['not_parking', 'selected_captures']",https://seks.2-porno.lol/50-grudastaya-aziatka-doverilas-neznakomcu.html,False,43,0,0,False,False,0,16,2,53,0,0,2,0,0,4,0,0,0,0,0,0,unknown,True,8402,12,109,False,False,False,"{'v4': ['172.67.207.68', '104.21.45.7'], 'v6': ['2606:4700:3034::6815:2d07', '2606:4700:3030::ac43:cf44']}",False,584,1,71.0,473,44.81506849315068,628,0.7513687217329207,2089,0.7871287128712872,0.5260766579399737,0.0121944649862138,93605,0.0328717141015983,39,2cb0316eb02c6c5c28fa84a7dc47fe5c,
