Unnamed: 0,uuid,tags,url,parking,number_domain_keywords_en,number_parking_kewords_en,number_together_in_line_keywords_en,keyword_in_title_en,stemmed_keyword_in_title,kword_auction,kword_domain,kword_regist,kword_price,kword_offer,kword_servic,kword_host,kword_websit,kword_contact,kword_site,kword_transfer,kword_héberge,kword_internet,kword_serveur,kword_découvr,kword_mainten,language,presence_of_nav,text_alpha_length,number_frames,number_images,domain_in_title,domain_in_text,in_warninglist,ip,different_final_domain,number_links,number_link_same_domain,average_link_length_same_domain,number_different_link_domains,average_link_length,maximum_link_length,link_to_text_ratio,number_non_link_characters,third_party_requests_ratio,third_party_data_ratio,third_party_html_content_ratio,initial_response_size,initial_response_ratio,number_redirects,structural_hash
234.0,9eadefcc-2db1-4765-aefc-68a7a2b82eca,['parking-page'],https://auto-site.fr,True,59,8,2,True,True,0,33,2,0,0,0,4,0,0,10,0,0,2,0,0,0,unknown,False,80,1,0,True,True,True,"{'v4': ['185.53.178.50'], 'v6': []}",False,2,1,66.0,2,42.5,66,0.375,50,0.7142857142857143,0.94723063197461,0.3930123259732198,6664,0.0487326868793237,0,00ff23021300005ca1db7b9ff68bb398
235.0,bfaaca51-6532-4dfb-8e2b-01056ddf5134,['parking-page'],http://idtopstar999.lol,True,29,18,5,True,True,0,15,3,1,0,2,3,0,5,3,0,0,0,0,0,0,unknown,False,507,2,1,True,True,True,"{'v4': [], 'v6': []}",True,4,0,0.0,3,88.75,156,0.2130177514792899,399,0.9444444444444444,0.9997113539762404,0.9964298214910744,51,0.0002886460237595,2,f2819c5460b0d6ad03d727d92769c903
236.0,27863a3a-60fc-4e85-b3f0-b4ef54219b87,['parking-page'],http://headlinenews.id,True,25,16,5,False,False,0,12,3,1,0,2,3,0,5,2,0,0,0,0,0,0,unknown,False,410,2,1,True,True,True,"{'v4': [], 'v6': []}",True,2,0,0.0,2,21.5,42,0.0780487804878048,378,0.9444444444444444,0.9997164793540264,0.9964165412456104,50,0.0002835206459734,2,5616cc40d6741b3955f87cff42f5e628
237.0,34c99af3-820d-4b57-80a0-260ea60963a7,['parking-page'],http://invest-in-real-estate-online-12.mom,True,18,13,3,False,False,0,7,2,1,0,1,3,0,5,2,0,0,0,0,0,0,unknown,False,126,1,0,True,True,True,"{'v4': ['64.190.62.22'], 'v6': []}",False,1,0,0.0,1,1.0,1,0.119047619047619,111,0.8461538461538461,0.945711380131786,0.3773765777280716,7794,0.0542886198682139,1,e49624e56c5b481e1b69318d8280b288
238.0,68400052-8eb6-4a24-88ce-c1d6d684300b,['parking-page'],http://vapevibes.lol,True,57,7,3,False,False,0,33,3,0,0,0,4,1,0,7,0,0,2,0,0,0,unknown,False,118,1,1,True,True,True,"{'v4': ['75.2.115.196'], 'v6': []}",False,3,0,0.0,2,21.666666666666668,23,0.1949152542372881,95,0.75,0.9554874572405928,0.4039106680724624,6157,0.0438782782212086,1,dc6108f7eeb7201e4ac147d6d3ac4ca0
239.0,5dc50a77-82b6-4889-aff1-7845f02a34e7,['parking-page'],http://klikwin88game6.lol,True,25,16,5,False,False,0,12,3,1,0,2,3,0,5,2,0,0,0,0,0,0,unknown,False,418,2,1,True,True,True,"{'v4': [], 'v6': []}",True,2,0,0.0,2,21.5,42,0.0765550239234449,386,0.9444444444444444,0.9996999156366602,0.9962644488299972,53,0.0003000843633398,2,5616cc40d6741b3955f87cff42f5e628
240.0,7d153ddb-a49a-4fa6-a0e3-eccaf6244abf,['parking-page'],http://rtp-liveskygg.lol,True,25,16,5,False,False,0,12,3,1,0,2,3,0,5,2,0,0,0,0,0,0,unknown,False,412,2,1,True,True,True,"{'v4': [], 'v6': []}",True,2,0,0.0,2,21.5,42,0.0776699029126213,380,0.9444444444444444,0.9997061798292451,0.9962788034921998,52,0.0002938201707547,2,5616cc40d6741b3955f87cff42f5e628
241.0,9b32359c-d47b-4271-9fe4-5333a0816e54,['parking-page'],http://chaireethiquedesaffaires.fr,True,54,8,2,False,False,0,33,2,0,0,0,4,0,0,5,0,0,2,0,0,0,unknown,False,112,1,0,True,True,True,"{'v4': ['185.53.178.51'], 'v6': []}",False,2,1,81.0,2,50.0,81,0.2678571428571428,82,0.7333333333333333,0.954930065137886,0.4058829147168369,6159,0.0444279335492573,1,00ff23021300005ca1db7b9ff68bb398
242.0,33d33bfd-68fd-4923-b188-f96694b958dc,['parking-page'],http://royalink.lol,True,25,16,5,False,False,0,12,3,1,0,2,3,0,5,2,0,0,0,0,0,0,unknown,False,400,2,1,True,True,True,"{'v4': [], 'v6': []}",True,2,0,0.0,2,21.5,42,0.08,368,0.9444444444444444,0.9997334407132444,0.9966225926990514,47,0.0002665592867554,2,5616cc40d6741b3955f87cff42f5e628
243.0,f6c9be72-753c-4f04-b849-90b255dc4c89,['parking-page'],http://regen-hackathon.fr,True,5,2,1,False,False,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,False,275,0,0,True,True,True,"{'v4': ['217.70.184.38'], 'v6': []}",False,2,1,60.0,2,45.5,60,0.2981818181818181,193,0.0,0.0,0.0,951,0.00811537312796,0,6434cd01b498dc87698b910ea9b0f556
244.0,bc033b46-5b0b-4993-ad3b-794cd74d95a5,['parking-page'],http://city-pizza.fr,True,54,9,2,False,False,0,33,2,0,0,0,4,0,0,5,0,0,2,0,0,0,unknown,False,82,1,0,True,True,True,"{'v4': ['185.53.178.52'], 'v6': []}",False,2,1,71.0,2,45.0,71,0.3658536585365853,52,0.75,0.9560912211164246,0.410363196125908,6026,0.0432697140723507,1,e1254ebd9925c6eae99ed3e058bab287
245.0,6182bd7d-34de-4618-9587-76d742c29db8,['parking-page'],http://baki888.id,True,29,18,5,True,True,0,15,3,1,0,2,3,0,5,3,0,0,0,0,0,0,unknown,False,484,2,1,True,True,True,"{'v4': [], 'v6': []}",True,4,0,0.0,3,85.75,150,0.2107438016528925,382,0.9444444444444444,0.9997452402384552,0.9968387776606956,45,0.0002547597615448,2,f2819c5460b0d6ad03d727d92769c903
246.0,10f52225-31c0-40b0-acdf-870d7eb56fc0,['parking-page'],https://claimdogs.lol,True,26,16,5,False,False,0,13,3,1,0,2,3,0,5,2,0,0,0,0,0,0,unknown,False,487,2,0,True,True,True,"{'v4': ['91.195.240.123'], 'v6': []}",False,4,1,66.0,3,33.25,66,0.1211498973305954,428,0.875,0.9537258170510828,0.4064962653326938,8601,0.0459536136177851,0,7774e6773bcee7f132dda096084311d6
247.0,c471897e-1d6f-4a06-aa6b-efbade11cf21,['parking-page'],http://sp8.lol,True,29,18,5,True,True,0,15,3,1,0,2,3,0,5,3,0,0,0,0,0,0,unknown,False,471,2,1,True,True,True,"{'v4': [], 'v6': []}",True,4,0,0.0,3,84.25,147,0.2101910828025477,372,0.9444444444444444,0.9997623937136164,0.997075819814802,42,0.0002376062863834,2,f2819c5460b0d6ad03d727d92769c903
248.0,f2c73490-35de-47e4-ab73-be3e5c3ac80b,['parking-page'],http://lemonemas.mom,True,29,18,5,True,True,0,15,3,1,0,2,3,0,5,3,0,0,0,0,0,0,unknown,False,495,2,1,True,True,True,"{'v4': [], 'v6': []}",True,4,0,0.0,3,87.25,153,0.2121212121212121,390,0.9444444444444444,0.9997286357160624,0.99668531178786,48,0.0002713642839374,2,f2819c5460b0d6ad03d727d92769c903
249.0,f1d5e4bb-52e0-4587-b4e4-f1de1cb223d1,['parking-page'],http://lemonemas.lol,True,29,18,5,True,True,0,15,3,1,0,2,3,0,5,3,0,0,0,0,0,0,unknown,False,495,2,1,True,True,True,"{'v4': [], 'v6': []}",True,4,0,0.0,3,87.25,153,0.2121212121212121,390,0.9444444444444444,0.9997285988917788,0.9966804979253112,48,0.0002714011082211,2,f2819c5460b0d6ad03d727d92769c903
250.0,c20996ce-d5e5-47f3-824d-150658edc4a8,['parking-page'],http://grill-king-leipzig.lol,True,29,18,5,True,True,0,15,3,1,0,2,3,0,5,3,0,0,0,0,0,0,unknown,False,523,2,1,True,True,True,"{'v4': [], 'v6': []}",True,4,0,0.0,3,91.75,162,0.2141491395793499,411,0.9444444444444444,0.9996779005899504,0.996082474226804,57,0.0003220994100495,2,f2819c5460b0d6ad03d727d92769c903
251.0,c533bd6d-9710-4a7d-8992-7ef8124adb0e,['parking-page'],http://online-phone-system-for-small-business-1.mom,True,18,13,3,False,False,0,7,2,1,0,1,3,0,5,2,0,0,0,0,0,0,unknown,False,142,1,0,True,True,True,"{'v4': ['64.190.62.22'], 'v6': []}",False,1,0,0.0,1,1.0,1,0.1056338028169014,127,0.8461538461538461,0.9453877061301934,0.3637545713124746,7829,0.0546122938698066,1,e49624e56c5b481e1b69318d8280b288
252.0,9b252772-44f2-46fb-9f68-d308984241e5,['parking-page'],http://joycewelch.lol,True,25,16,5,False,False,0,12,3,1,0,2,3,0,5,2,0,0,0,0,0,0,unknown,False,406,2,1,True,True,True,"{'v4': [], 'v6': []}",True,2,0,0.0,2,21.5,42,0.0788177339901477,374,0.9444444444444444,0.9997220725447378,0.9964760877382236,49,0.0002779274552621,2,5616cc40d6741b3955f87cff42f5e628
253.0,8ed6812d-9d89-4757-8761-75d02ed2bd24,['parking-page'],http://gutwein.lol,True,1,12,1,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,False,51,2,0,True,True,True,"{'v4': ['199.59.243.226'], 'v6': []}",False,2,0,0.0,2,7.0,8,0.3529411764705882,33,0.7333333333333333,0.7834214602360733,0.8304198660349617,1038,0.0055439833360038,0,54aa0f91964c658d2b4d18a1b1529591
254.0,8f747604-0e64-4936-99b7-4ebfb63d2ac2,['parking-page'],http://dedimulyadi.id,True,72,22,7,True,True,0,51,0,15,15,16,1,3,0,12,17,0,0,0,0,0,unknown,False,3948,0,2,True,False,True,"{'v4': ['3.64.163.50'], 'v6': []}",False,21,5,102.2,12,39.77777777777778,107,0.0390070921985815,3794,0.9230769230769232,0.8933950569145918,0.0123979213066072,13272,0.0178448018543965,1,607d330a3fc028dc502893d325062c46
255.0,72e501b4-a7e4-4929-97af-f75e92bb3a1f,['parking-page'],http://rtpgacorsemongkoid.mom,True,25,16,5,False,False,0,12,3,1,0,2,3,0,5,2,0,0,0,0,0,0,unknown,False,430,2,1,True,True,True,"{'v4': [], 'v6': []}",True,2,0,0.0,2,21.5,42,0.0744186046511627,398,0.9444444444444444,0.9996780152180176,0.9959335093101236,57,0.0003219847819824,2,5616cc40d6741b3955f87cff42f5e628
256.0,8657c111-8c94-4bff-b89d-efc05edbb2bb,['parking-page'],http://barresflexibles.fr,True,1,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,False,36,0,0,False,False,True,"{'v4': ['91.195.240.94'], 'v6': []}",False,0,0,0.0,0,0.0,0,0.0,36,0.0,0.0,0.0,93,1.0,0,6018827592c227a09f27dbff47a18a2b
257.0,ba8575cb-617b-4bf0-9511-0ef1edfd833e,['parking-page'],http://bujur888.id,True,29,18,5,True,True,0,15,3,1,0,2,3,0,5,3,0,0,0,0,0,0,unknown,False,488,2,1,True,True,True,"{'v4': [], 'v6': []}",True,4,0,0.0,3,86.25,151,0.2110655737704918,385,0.9444444444444444,0.999739844019523,0.9968086582489246,46,0.0002601559804769,2,f2819c5460b0d6ad03d727d92769c903
258.0,184b721d-419c-4bf7-8d25-2f9d39a58323,['parking-page'],https://khofifahemil.id,True,75,19,6,True,True,0,54,3,24,10,23,2,3,0,12,16,0,0,0,0,0,unknown,False,4924,0,2,True,False,True,"{'v4': ['3.64.163.50'], 'v6': []}",False,26,7,112.28571428571428,13,43.60869565217392,156,0.0448822095857026,4703,0.918918918918919,0.8910912692414362,0.0,15730,0.0206757948614143,0,95bc63bbd85018e75921638d171f7a5b
259.0,f73ab973-a0cd-4421-885f-75cc971c04ca,['parking-page'],http://medical-practice-management-software1.mom,True,18,13,3,False,False,0,7,2,1,0,1,3,0,5,2,0,0,0,0,0,0,unknown,False,142,1,0,True,True,True,"{'v4': ['64.190.62.22'], 'v6': []}",False,1,0,0.0,1,1.0,1,0.1056338028169014,127,0.8461538461538461,0.945592027318977,0.3726797910807553,7807,0.054407972681023,1,e49624e56c5b481e1b69318d8280b288
260.0,d277f64d-43a5-44b2-aeaa-8decabae9454,['parking-page'],https://kubikum.fr,True,4,3,1,False,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,False,260,0,1,False,False,True,"{'v4': ['104.16.141.114', '104.16.140.114'], 'v6': ['2606:4700::6810:8c72', '2606:4700::6810:8d72']}",True,1,0,0.0,1,62.0,62,0.0384615384615384,250,0.9047619047619048,0.998799102944368,0.9871745344974118,166,0.0006004485278159,3,9556a7c335a5627146ce1508da6d163e
261.0,2a6ca002-4dad-4388-a728-4c8ab289b231,['parking-page'],http://locrsea.mom,True,1,6,1,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,False,51,1,0,True,True,True,"{'v4': ['199.59.243.226'], 'v6': []}",False,2,0,0.0,2,7.0,8,0.3529411764705882,33,0.5714285714285714,0.6497490432544036,0.5149532710280373,1038,0.008967060307368,0,ed3383cbd6a435d67b1ba17c294f7eb5
262.0,6d96acdf-6da1-40a4-92f0-de2826bfcc71,['parking-page'],https://madameguerison.fr,True,18,1,1,True,True,0,7,0,0,0,0,12,5,0,5,0,0,0,0,0,0,unknown,True,594,0,2,False,True,False,"{'v4': ['84.32.84.32'], 'v6': []}",False,8,0,0.0,3,47.375,102,0.1414141414141414,510,0.9444444444444444,0.9931955080667132,0.0,3372,0.0068044919332869,0,3c672f2ed801f65648e996e34e1f6f7e
263.0,eca8972d-5159-42e0-af09-40de0a633c08,['parking-page'],http://dwsurga.lol,True,29,18,5,True,True,0,15,3,1,0,2,3,0,5,3,0,0,0,0,0,0,unknown,False,487,2,1,True,True,True,"{'v4': [], 'v6': []}",True,4,0,0.0,3,86.25,151,0.2114989733059548,384,0.9444444444444444,0.9997406434298216,0.9967975494291283,46,0.0002593565701785,2,f2819c5460b0d6ad03d727d92769c903
264.0,b049dbdb-1d68-49cb-a6ad-6bf4eeac62f1,['parking-page'],http://domulis.fr,True,5,2,1,False,False,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,False,247,0,0,True,True,True,"{'v4': ['217.70.184.38'], 'v6': []}",False,2,1,52.0,2,41.5,52,0.3036437246963562,172,0.0,0.0,0.0,944,0.0080580452411438,0,6434cd01b498dc87698b910ea9b0f556
265.0,ced11ce2-d6c5-43e0-b171-0c1fd5b2cbb9,['parking-page'],http://mortgages.gdn,True,28,17,4,True,True,0,14,2,1,0,2,3,0,5,3,0,0,0,0,0,0,unknown,False,450,2,0,True,True,True,"{'v4': ['64.190.63.222'], 'v6': []}",False,4,2,153.0,3,87.25,153,0.24,342,0.875,0.947103631076456,0.411368843069874,8222,0.052896368923544,1,5af2e999297e45e63c8f80dfa7d65246
266.0,d4fa1cd3-7ffe-4848-b0a3-c1bb5281f39d,['parking-page'],http://locloavth.mom,True,1,6,1,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,False,55,1,0,True,True,True,"{'v4': ['199.59.243.226'], 'v6': []}",False,2,0,0.0,2,7.0,8,0.3272727272727272,37,0.5714285714285714,0.649617384394811,0.5139925373134329,1042,0.0089996717969978,0,ed3383cbd6a435d67b1ba17c294f7eb5
267.0,b1a3ff0a-8182-4349-a876-32457d2d69b0,['parking-page'],http://movierulzfree.lol,True,30,19,5,True,True,0,16,3,1,0,2,3,0,5,3,0,0,0,0,0,0,unknown,False,595,2,0,True,True,True,"{'v4': ['91.195.240.123'], 'v6': []}",False,6,3,128.0,4,75.16666666666667,157,0.2285714285714285,459,0.8823529411764706,0.9541206092199,0.4086222406753858,8546,0.0458793907800999,1,4aab1bbe839bc5f3093f2a188f1ee19a
268.0,8c73ae43-b6cd-4875-9333-f7d3eea07905,['parking-page'],http://barros.lol,True,1,12,1,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,False,49,2,0,True,True,True,"{'v4': ['199.59.243.226'], 'v6': []}",False,2,0,0.0,2,7.0,8,0.3673469387755102,31,0.7333333333333333,0.7827818118485571,0.8309352517985612,1034,0.0055411162616221,0,54aa0f91964c658d2b4d18a1b1529591
269.0,4560e4a3-0daf-461d-aca1-e257eb4e7353,['parking-page'],http://occitanie-developpement-durable.fr,True,5,2,1,False,False,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,False,335,0,0,True,True,True,"{'v4': ['217.70.184.38'], 'v6': []}",False,2,1,76.0,2,53.5,76,0.2895522388059701,238,0.0,0.0,0.0,963,0.0080808250329358,0,6434cd01b498dc87698b910ea9b0f556
270.0,460309bc-9bfe-4ec4-b1f5-1c6e85777c4b,['parking-page'],https://invest-in-real-estate-online-4.mom,True,18,13,3,False,False,0,7,2,1,0,1,3,0,5,2,0,0,0,0,0,0,unknown,False,124,1,0,True,True,True,"{'v4': ['64.190.62.22'], 'v6': []}",False,1,0,0.0,1,1.0,1,0.1209677419354838,109,0.8333333333333334,0.9429511869610616,0.3592233009708738,8214,0.0567998727638594,0,e49624e56c5b481e1b69318d8280b288
271.0,ccc554db-b409-4baf-85ed-211d65551600,['parking-page'],https://best-business-mobile-phone-deals-12.mom,True,18,13,3,False,False,0,7,2,1,0,1,3,0,5,2,0,0,0,0,0,0,unknown,False,134,1,0,True,True,True,"{'v4': ['64.190.62.22'], 'v6': []}",False,1,0,0.0,1,1.0,1,0.1119402985074626,119,0.8333333333333334,0.9432650604909836,0.3621587992845478,8166,0.0564859200232418,0,e49624e56c5b481e1b69318d8280b288
